Timepoint,Time,SocketID,Time,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSentUnique,pktSndLoss,pktSndDrop,pktRetrans,pktSndFilterExtra,byteSent,byteSentUnique,byteSndDrop,byteAvailSndBuf,msSndBuf,mbpsSendRate,usPktSndPeriod,pktRecv,pktRecvUnique,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss,byteRecv,byteRecvUnique,byteRcvLoss,byteRcvDrop,byteAvailRcvBuf,msRcvBuf,mbpsRecvRate,msRcvTsbPdDelay
2022-01-17T12:19:00.501936+0000,2288,448292610,2288,8192,8192,0,48.807,196.62,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1308,1307,8,0,9,1,0,0,0,1778880,1777520,10880,0,11829000,457,6.21759,800
2022-01-17T12:19:01.945197+0000,3732,448292610,3732,8192,8192,0,48.962,190.488,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,937,937,6,0,4,0,0,0,0,1274320,1274320,8160,0,11976000,427,7.06338,800
2022-01-17T12:19:03.513564+0000,5300,448292610,5300,8192,8192,0,48.915,224.52,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,991,991,4,0,6,0,0,0,0,1347760,1347760,5440,0,11932500,356,6.87468,800
2022-01-17T12:19:05.128506+0000,6915,448292610,6915,8192,8192,0,48.936,282.072,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1036,1036,4,0,4,0,0,0,0,1408960,1408960,5440,0,11883000,347,6.97961,800
2022-01-17T12:19:06.604161+0000,8391,448292610,8391,8192,8192,0,48.621,198.12,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,937,937,2,0,2,0,0,0,0,1274320,1274320,2720,0,11976000,353,6.90853,800
2022-01-17T12:19:08.369491+0000,10156,448292610,10156,8192,8192,0,49.225,265.644,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1088,1088,1,0,1,0,0,0,0,1479680,1479680,1360,0,11845500,478,6.7055,800
2022-01-17T12:19:10.055032+0000,11841,448292610,11841,8192,8192,0,49.117,271.524,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,997,995,4,0,6,2,0,0,0,1355920,1353200,5440,0,11848500,516,6.43553,800
2022-01-17T12:19:11.716930+0000,13503,448292610,13503,8192,8192,0,47.472,151.572,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,995,993,10,0,12,2,0,0,0,1353200,1350480,13600,0,11860500,513,6.51399,800
2022-01-17T12:19:13.316221+0000,15103,448292610,15103,8192,8192,0,47.421,140.016,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1000,999,5,0,6,1,0,0,0,1360000,1358640,6800,0,11872500,481,6.80301,800
2022-01-17T12:19:14.948835+0000,16735,448292610,16735,8192,8192,0,47.134,165.576,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,992,992,5,0,5,0,0,0,0,1349120,1349120,6800,0,11880000,467,6.61086,800
2022-01-17T12:19:16.722167+0000,18509,448292610,18509,8192,8192,0,47.752,152.796,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1050,1048,11,0,13,2,0,0,0,1428000,1425280,14960,0,11800500,545,6.44213,800
2022-01-17T12:19:18.464300+0000,20251,448292610,20251,8192,8192,0,47.236,143.94,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,993,991,13,0,15,2,0,0,0,1350480,1347760,17680,0,11823000,574,6.20152,800
2022-01-17T12:19:20.286955+0000,22073,448292610,22073,8192,8192,0,47.703,125.412,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1022,1016,12,0,18,6,0,0,0,1389920,1381760,16320,0,11793000,620,6.10061,800
2022-01-17T12:19:22.133654+0000,23920,448292610,23920,8192,8192,0,47.749,130.2,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1015,1015,7,0,7,0,0,0,0,1380400,1380400,9520,0,11772000,624,5.97999,800
2022-01-17T12:19:23.899310+0000,25686,448292610,25686,8192,8192,0,47.53,143.208,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,980,979,4,0,5,1,0,0,0,1332800,1331440,5440,0,11806500,669,6.03877,800
2022-01-17T12:19:25.776909+0000,27563,448292610,27563,8192,8192,0,47.96,144.264,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1085,1084,13,0,14,1,0,0,0,1475600,1474240,17680,0,11679000,605,6.28717,800
2022-01-17T12:19:27.323464+0000,29110,448292610,29110,8192,8192,0,47.443,169.44,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,858,858,3,0,3,0,0,0,0,1166880,1166880,4080,0,11893500,551,6.036,800
2022-01-17T12:19:29.523151+0000,31310,448292610,31310,8192,8192,0,47.483,156.54,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1146,1146,8,0,8,0,0,0,0,1558560,1558560,10880,0,11667000,601,5.6683,800
2022-01-17T12:19:31.148188+0000,32935,448292610,32935,8192,8192,0,47.748,141.264,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,910,909,3,0,4,1,0,0,0,1237600,1236240,4080,0,11803500,584,6.09265,800
2022-01-17T12:19:32.981272+0000,34768,448292610,34768,8192,8192,0,47.445,146.628,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1077,1075,6,0,8,2,0,0,0,1464720,1462000,8160,0,11691000,650,6.39241,800
2022-01-17T12:19:34.587786+0000,36374,448292610,36374,8192,8192,0,47.056,141.18,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,938,936,6,0,8,2,0,0,0,1275680,1272960,8160,0,11791500,590,6.35254,800
2022-01-17T12:19:36.084160+0000,37871,448292610,37871,8192,8192,0,47.764,151.968,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,913,912,7,0,8,1,0,0,0,1241680,1240320,9520,0,11971500,471,6.63834,800
2022-01-17T12:19:37.772959+0000,39559,448292610,39559,8192,8192,0,47.443,144.108,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1052,1051,3,0,4,1,0,0,0,1430720,1429360,4080,0,11850000,521,6.77742,800
2022-01-17T12:19:39.486207+0000,41273,448292610,41273,8192,8192,0,48.288,185.736,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1035,1033,6,0,8,2,0,0,0,1407600,1404880,8160,0,11800500,565,6.57281,800
2022-01-17T12:19:41.232601+0000,43019,448292610,43019,8192,8192,0,47.436,120.204,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1041,1041,6,0,6,0,0,0,0,1415760,1415760,8160,0,11740500,596,6.48537,800
2022-01-17T12:19:42.958641+0000,44745,448292610,44745,8192,8192,0,47.727,153.816,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,994,994,4,0,4,0,0,0,0,1351840,1351840,5440,0,11743500,645,6.26567,800
2022-01-17T12:19:44.669734+0000,46456,448292610,46456,8192,8192,0,47.765,130.908,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1020,1020,3,0,3,0,0,0,0,1387200,1387200,4080,0,11715000,591,6.48565,800
2022-01-17T12:19:46.181078+0000,47968,448292610,47968,8192,8192,0,47.777,156.48,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,902,901,5,0,5,1,0,0,0,1226720,1225360,6800,0,11871000,523,6.49338,800
2022-01-17T12:19:47.899597+0000,49686,448292610,49686,8192,8192,0,47.25,145.272,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1019,1016,7,0,11,3,0,0,0,1385840,1381760,9520,0,11883000,539,6.45135,800
2022-01-17T12:19:49.745231+0000,51532,448292610,51532,8192,8192,0,48.03,133.668,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1026,1024,5,0,7,2,0,0,0,1395360,1392640,6800,0,11799000,625,6.04825,800
2022-01-17T12:19:51.590885+0000,53377,448292610,53377,8192,8192,0,47.378,159.54,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1042,1040,10,0,12,2,0,0,0,1417120,1414400,13600,0,11743500,644,6.1425,800
2022-01-17T12:19:53.274559+0000,55061,448292610,55061,8192,8192,0,47.766,144.072,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1017,1014,11,0,14,3,0,0,0,1383120,1379040,14960,0,11725500,629,6.572,800
2022-01-17T12:19:54.941789+0000,56728,448292610,56728,8192,8192,0,48.284,164.82,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,970,968,9,0,10,2,0,0,0,1319200,1316480,12240,0,11779500,633,6.33,800
2022-01-17T12:19:56.651676+0000,58438,448292610,58438,8192,8192,0,47.855,144.78,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,979,976,11,0,15,3,0,0,0,1331440,1327360,14960,0,11802000,635,6.22935,800
2022-01-17T12:19:58.333569+0000,60120,448292610,60120,8192,8192,0,47.652,132.084,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1002,1000,8,0,10,2,0,0,0,1362720,1360000,10880,0,11803500,584,6.48182,800
2022-01-17T12:19:59.979883+0000,61766,448292610,61766,8192,8192,0,48.27,159.348,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,985,985,8,0,8,0,0,0,0,1339600,1339600,10880,0,11826000,560,6.50961,800
2022-01-17T12:20:01.666116+0000,63453,448292610,63453,8192,8192,0,47.279,142.32,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1026,1025,3,0,4,1,0,0,0,1395360,1394000,4080,0,11793000,531,6.61998,800
2022-01-17T12:20:03.254556+0000,65041,448292610,65041,8192,8192,0,47.446,130.02,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,955,953,6,0,8,2,0,0,0,1298800,1296080,8160,0,11857500,503,6.54125,800
2022-01-17T12:20:04.752603+0000,66539,448292610,66539,8192,8192,0,47.53,146.1,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,958,958,3,0,3,0,0,0,0,1302880,1302880,4080,0,11925000,419,6.95776,800
2022-01-17T12:20:06.172798+0000,67959,448292610,67959,8192,8192,0,47.176,200.268,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,920,919,7,0,8,1,0,0,0,1251200,1249840,9520,0,12048000,313,7.04812,800
2022-01-17T12:20:07.604853+0000,69391,448292610,69391,8192,8192,0,47.49,130.512,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,935,934,2,0,3,1,0,0,0,1271600,1270240,2720,0,12141000,217,7.10356,800
2022-01-17T12:20:09.198523+0000,70985,448292610,70985,8192,8192,0,47.711,138.252,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1023,1019,11,0,14,4,0,0,0,1391280,1385840,14960,0,12138000,118,6.98405,800
2022-01-17T12:20:10.594803+0000,72381,448292610,72381,8192,8192,0,47.618,125.868,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,905,904,5,1,6,1,0,0,0,1230800,1229440,6800,1360,12256500,63,7.05186,800
2022-01-17T12:20:12.104315+0000,73891,448292610,73891,8192,8192,0,47.7,125.412,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,991,981,11,10,11,10,0,0,0,1347760,1334160,14960,13600,12285000,25,7.14275,800
2022-01-17T12:20:13.668376+0000,75455,448292610,75455,8192,8192,0,47.9,138.408,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1008,1003,37,37,5,5,0,0,0,1370880,1364080,50320,50320,12280500,12,7.01198,800
2022-01-17T12:20:15.219900+0000,77006,448292610,77006,8192,8192,0,47.896,110.172,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1004,1003,86,86,1,1,0,0,0,1365440,1364080,116960,116960,12276000,10,7.04045,800
2022-01-17T12:20:16.755763+0000,78542,448292610,78542,8192,8192,0,47.436,169.056,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1003,998,25,25,5,5,0,0,0,1364080,1357280,34000,34000,12279000,14,7.10523,800
2022-01-17T12:20:18.316717+0000,80103,448292610,80103,8192,8192,0,47.525,118.14,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1001,998,19,19,3,3,0,0,0,1361360,1357280,25840,25840,12282000,10,6.97708,800
2022-01-17T12:20:19.961802+0000,81748,448292610,81748,8192,8192,0,48.259,139.74,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1040,1022,18,16,20,18,0,0,0,1414400,1389920,24480,21760,12249000,20,6.87817,800
2022-01-17T12:20:21.487125+0000,83274,448292610,83274,8192,8192,0,47.966,146.628,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,981,979,5,4,3,2,0,0,0,1334160,1331440,6800,5440,12280500,15,6.99739,800
2022-01-17T12:20:23.072566+0000,84859,448292610,84859,8192,8192,0,47.959,156.036,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1014,1001,12,11,14,13,0,0,0,1379040,1361360,16320,14960,12279000,20,6.95854,800
2022-01-17T12:20:24.824991+0000,86611,448292610,86611,8192,8192,0,47.732,167.652,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1140,1139,4,1,4,1,0,0,0,1550400,1549040,5440,1360,12085500,82,7.0777,800
2022-01-17T12:20:26.276633+0000,88063,448292610,88063,8192,8192,0,48.003,132.852,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,934,932,11,0,13,2,0,0,0,1270240,1267520,14960,0,12180000,74,7.0003,800
2022-01-17T12:20:27.868822+0000,89655,448292610,89655,8192,8192,0,47.954,147.636,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1018,1014,14,0,17,4,0,0,0,1384480,1379040,19040,0,12165000,96,6.95639,800
2022-01-17T12:20:29.398279+0000,91185,448292610,91185,8192,8192,0,48.382,126.732,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,991,989,14,0,15,2,0,0,0,1347760,1345040,19040,0,12187500,121,7.04959,800
2022-01-17T12:20:31.118824+0000,92905,448292610,92905,8192,8192,0,47.732,170.832,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1115,1113,9,0,13,2,0,0,0,1516400,1513680,12240,0,12003000,215,7.05081,800
2022-01-17T12:20:32.738455+0000,94525,448292610,94525,8192,8192,0,48.371,144.912,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1026,1023,14,0,16,3,0,0,0,1395360,1391280,19040,0,12004500,293,6.89219,800
2022-01-17T12:20:34.377356+0000,96164,448292610,96164,8192,8192,0,47.622,141.624,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1057,1057,4,0,5,0,0,0,0,1437520,1437520,5440,0,11878500,424,7.01699,800
2022-01-17T12:20:36.229589+0000,98016,448292610,98016,8192,8192,0,47.744,167.316,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1134,1131,8,0,11,3,0,0,0,1542240,1538160,10880,0,11689500,502,6.66115,800
2022-01-17T12:20:37.793863+0000,99580,448292610,99580,8192,8192,0,47.559,177.888,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,925,925,9,0,9,0,0,0,0,1258000,1258000,12240,0,11796000,547,6.43362,800
2022-01-17T12:20:39.455509+0000,101242,448292610,101242,8192,8192,0,47.802,123.384,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1007,1005,7,0,9,2,0,0,0,1369520,1366800,9520,0,11794500,548,6.59355,800
2022-01-17T12:20:41.092554+0000,102879,448292610,102879,8192,8192,0,48.362,125.988,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,978,976,11,0,13,2,0,0,0,1330080,1327360,14960,0,11827500,526,6.49991,800
2022-01-17T12:20:42.770611+0000,104557,448292610,104557,8192,8192,0,47.202,109.608,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1005,1005,6,0,6,0,0,0,0,1366800,1366800,8160,0,11817000,532,6.51613,800
2022-01-17T12:20:44.482283+0000,106269,448292610,106269,8192,8192,0,47.433,148.548,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1029,1029,3,0,3,0,0,0,0,1399440,1399440,4080,0,11776500,616,6.54068,800
2022-01-17T12:20:46.163735+0000,107950,448292610,107950,8192,8192,0,47.696,142.26,1000,0,0,0,0,0,0,0,0,0,12288000,0,0,12,1001,1000,9,0,9,1,0,0,0,1361360,1360000,12240,0,11811000,568,6.4771,800
